,prop_id,prop_id.1,prop_name.1,primary_commodity,mo_source_date,mo_yr_source_date,mine_type1,mine_type2,mine_type3,commodities_list,state_province,snl_global_region,latitude,longitude,coordinate_accuracy,distance_from,location_comments,locale,district,country/region_pol_risk,country/region_op_risk,country/region_sec_risk,country/region_ter_risk,millhead_grade_g_per_tonne,millhead_grade_g_per_cubic_m,millhead_grade_pct,millhead_grade_ct_per_tonne,millhead_grade_ct_per_cubic_m,recov_rate,production_capacity_oz,production_capacity_tonne,production_capacity_lb,production_capacity_ct,num_royalty_owners,owner_list,num_royalty_holders,royalty_holder_list,cash_cost_per_oz,cash_cost_per_tonne,cash_cost_per_lb,cash_cost_per_ct,total_production_cost_per_oz,total_production_cost_per_tonne,total_production_cost_per_lb,total_production_cost_per_ct,all_in_sustaining_cost_per_oz,all_in_sustaining_cost_per_tonne,all_in_sustaining_cost_per_lb,all_in_sustaining_cost_per_ct,start_up_yr,start_up_calendar_qtr,proj_start_up_yr,proj_start_up_qtr,actual_closure_yr,actual_closure_qtr,proj_closure_yr,proj_closure_qtr,mill_capacity_tonnes_per_day,mill_capacity_tonnes_per_year,mill_capacity_cubic_m_per_day,mill_capacity_cubic_m_per_year,stripping_ratio,waste_to_ore_ratio,mining_methods,processing_methods,production_forms,mining_processing_cost_per_metric_tonne,mining_processing_cost_per_cubic_m,amt_capital_invested,capital_cost_announced_date,capital_cost_proj_completion_date,capital_cost_completion_date,capital_cost_type,capital_cost_comments,capital_improvement_yr,owner_name,current_owner_common_name,current_owner_company_name_abbrev,owner_type,owner_pct,current_controlling_own_pct,owner_hq,owner_city_state,owner_location,owner_frgn_province,owner_country,owner_global_region,prop_name,also_known_as,country_name,actv_status,dev_stage,yr_source_date,resv_metal_tonnage (mt),grade (%),production (mt),resource (milion mt),resource nickel contained (milion mt),resv_ore_tonnage (mt),remark,production_capacity_openpit,production_capacity_underground,production_capacity,productiion_to_capacity,mine_life,country/region_overall_risk,prob_shutdown,current_stage
1033,34257.0,34257.0,Rio Tuba,Nickel,3.0,03/2019,Open Pit,,,"Nickel,Cobalt,Iron Ore,Limestone",Palawan,Asia-Pacific,8.59975,117.46561,Exact,190 km SW of Barangay San Miguel,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,"Nickel Asia Corporation (Venturer) 60%; Pacific Metals Co., Ltd. (Venturer) 36%; Sojitz Corporation (Venturer) 4%",,,,,,,,,,,,,,,1975.0,,,,,,2026.0,,,,,,,,Open Pit,Crushing,"Hydroxide, Ore",,,,2002-07-29,,2005-05-15,Major Purchase,"In July 2002, Sumitomo entered into a joint venture to build a $175-million nickel-cobalt processing plant with Rio Tuba Nickel Mining, Mitsui, and another Japanese company. The plant was to be built next to the Rio Tuba mine. It will annually produce matte containing 10,000 mt nickel and 700 mt cobalt over a minimum project life of 20 years. (NM 7/29/02) As of June 2003, Sumitomo expected operations to start in 2005. (Sumitomo 3/03 AR 6/27/03)",2005.0,Nickel Asia Corporation,Nickel Asia Corporation,Nickel Asia Corp,Venturer,60.0,60.0,Taguig City,"Taguig City, Metro Manila",Taguig City [PH],Metro Manila,Philippines,Asia-Pacific,Rio Tuba,"CBNC II, Coral Bay, Guintalunan, Mangingidong, MPSA 114-98-IV, MPSA 213-2005-IVB, Sition Gotok, Umawi",Philippines,Active,Operating,2019.0,775000.0,1.28,67000.0,61.363,811500.0,60546875.0,"MGB, 2018",6302933.887958184,3033931.937598719,8067755.376586475,0.008304664292926067,11.567164179104477,8.0,0.2621440000000001,Operating-stage
1035,26724.0,26724.0,Riverina,Nickel,9.0,09/2019,Open Pit,Underground,,"Nickel,Cobalt,Gold",Western Australia,Asia-Pacific,-29.745,120.56389,Exact,140 km NW of Kalgoorlie,The Riverina project is centred 125 km north of Coolgardie. (Barra 6/14 QR 7/27/14),,,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,Riverina Resources Pty Ltd (Venturer) 70%; Greenstone Resources Limited (Venturer) 30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Open Pit,Heap Leach,,,,4400.0,1990-12-31,,,Initial Capital Cost,THESE FUNDS ARE NEEDED TO ACCESS THE UNDERGROUND LEVELS WHERE THE ESTIMATED RESERVES LIE.  (RAM 90/91),1990.0,Riverina Resources Pty Ltd,Riverina Resources Pty. Ltd.,Riverina Rsrc Pty,Venturer,70.0,70.0,,,,,,,Riverina,"E30/333, M30/127, M30/133, M30/182, M30/256, Martins Zone, Martin's Zone, P30/1074, P30/1112, P30/1113, P30/1114, P30/1115, P30/1116, P30/1117, P30/1118, P30/1119, P30/1120, Reggies Line, Riverina, Riverina East",Australia,Inactive,Reserves Development,2019.0,,1.01,,2.2,,,,,,,,,4.0,0.0040960000000000015,Development-stage
1058,28354.0,28354.0,Samapleu,Nickel,9.0,09/2021,Open Pit,,,"Nickel,Copper,Cobalt,Platinum,Palladium,Gold,Iron Ore",Dix-Huit Montagnes,Africa,7.76179,-7.90051,Exact,55 km NW of Man,Samapleu is located 600 km northwest of Abidjan and 50 km west of Biankouma in Cote d'Ivoire. (Landen PR 12/21/09),,,2.0,2.0,2.0,1.0,,,,,,,,,,,3.0,Cote D'ivoire (Owner) 40%; Sama Resources Inc. (Optionor) 24%; I-Pulse Inc. (Optionee) 20.7%,1.0,Local Interest (NSR) 1%,,,,,,,,,,,,,,,,,,,,,7300.0,2400000.0,,,1.17,,Open Pit,"Ball, Calcination, Crushing, Flotation, Roasting, Semi-Autogenous Grinding",Concentrate,21.24,,282000.0,2020-05-27,,,Initial Capital Cost,"In May 2020, Sama reported results of its PEA at Samapleu which estimated a capital cost of $282 million including contingency of $37 million. (Sama PR May 27, 2020)",2020.0,Cote D'ivoire,Cote D'ivoire,Cote Divoire,,40.0,40.0,,,,,Cote d'Ivoire,Africa,Samapleu,"Bounta, Gangbapleu, Grata, Kouroba, PR 123, PR 300, PR 301, Samapleu Extension 1, Sipilou South, SM Extension 1, Yepleu, Zeregouine, Zoupleu",Cote d'Ivoire,Active,Prefeas/Scoping,2021.0,,0.233,,40.639,95670.0,,"Ouattara et al., 2009",,,,,,7.0,0.11764899999999996,Late-stage exploration
1062,29226.0,29226.0,San Felipe,Nickel,7.0,07/2007,Open Pit,,,"Nickel,Cobalt,Copper,Gold",Camagüey,Latin America and Caribbean,21.54611,-77.96778,Exact,20 km NNW of Camagüey; 487.5 km ESE of Havana,,,,2.0,3.0,1.0,0.0,,,,,,,,,,,1.0,Cubaniquel (Owner) 100%,,,,,,,,,,,,,,,,,2016.0,,,,,,,,,,,,Open Pit,"Pressure Acid Leaching, Solvent-Extraction Electrowinning",,,,300000.0,1995-04-25,,,Initial Capital Cost,"In early 1995, the facility was projected to cost $300 million.  (AMM 4/25/95)",1995.0,Cubaniquel,Cubaniquel,Cubaniquel,,100.0,100.0,Havana,Havana,Havana [CU],,Cuba,Latin America and Caribbean,San Felipe,,Cuba,Active,Reserves Development,2007.0,,1.3,,250.0,,,BHP 2002 San Felipe Concept Study,,,,,,6.0,0.04665599999999999,Development-stage
1070,33832.0,33832.0,Santa Rita,Nickel,6.0,06/2016,Open Pit,Underground,,"Nickel,Copper,Cobalt,Platinum,Palladium,Gold",Bahia,Latin America and Caribbean,-14.18902,-39.71144,Exact,185 km SW of Salvador,,,,2.0,2.0,2.0,1.0,,,,,,,,,,,1.0,Appian Capital Advisory LLP (Owner) 100%,2.0,Local Interest (Royalty) 1%; Companhia Baiana De Pesquisa Mineral (Royalty),,,,,,,,,,,,,2009.0,4.0,2010.0,3.0,,,2040.0,,21800.0,7200000.0,,,,8.5,"Open Pit, Underground","Ball, Crushing, Flotation, Semi-Autogenous Grinding",Concentrate,,,462100.0,2009-07-28,,2010-09-08,Initial Capital Cost,"In July 2009, Mirabela reported that costs overruns at Santa Rita were approximately $28.1 million; representing a cost overrun of approximately 6% of the initial capital cost estimate for the project of $434 million. (Mirabela PR 7/28/09)_x000D_
	In fiscal 2009, Mirabela secured a total of $290 million in debt and $233 million equity to fund development of Santa Rita. (Mirabela 6/09 AR 10/29/09)_x000D_
	In November 2008, capital costs for Santa Rita were reported to be $387 million.  The total included the plant, infrastructure, land, port, first fill, spares, and contingency. (Mirabela PR 11/27/08)_x000D_
	In October 2008, the capital cost was reduced by $40 million due to reduced exploration work. As a result, the debt facility required was reduced from $280 million to $240 million of which $80 million was already drawn-down. (Mirabela PR 10/29/08) _x000D_
	In July 2008, the estimated sunk capital cost of the revised 6.4 million-mt/y project was $387 million, including plant, infrastructure, land acquisition, port upgrade, first fills, spares and contingency. The new capital cost estimate represented a 20% increase over the previous estimate of $322 million for the 4.6 million-mt/y project. (Mirabela PR 7/29/08)_x000D_
	In July 2008, Mirabela entered into an $80 million bridge financing facility to fund ongoing construction at Santa Rita and an underwritten $280 million loan facility.  (Mirabela PR 7/10/08) _x000D_
	In January 2008, Mirabela mandated BNP Paribas and Credit Suisse to act as lead arrangers of a debt financing facility of up to $260 million for the development of Santa Rita. (Mirabela PR 1/10/08) Capital costs for the 4.6 million-mt/y operation were increased to $322 million, including $267 million for the plant and infrastructure, $16 million for a 50,000-m drill program, $10 million for additional land rights, $5 million for geotechnical drilling, and $24 million in contingency. (Mirabela PR 1/23/08)_x000D_
   In July 2007, capital costs were estimated at $263 million.  Equity funding of $160 was already complete and debt financing was to be used to fund the rest. (Mirabela PR 6/5/07)_x000D_
   In January 2007, the estimated capital costs for Santa Rita amounted to $215 million, based on 4 million-mt/y flotation plant. Mirabela had envisioned the capital would be comprised of $100 million from equity, and $115 million funded through debt. (Mirabela Corporate Presentation 1/5/06)_x000D_
   By October 2006, capital costs for Santa Rita had been estimated at $150-180 million (based on a 4 million-mt/y flotation plant), including working capital. Funding for the project was expected to be structured as follows: $60-90 million through equity, and $90 million through debt. (Mirabela Presentation 10/3/06)",2010.0,Appian Capital Advisory LLP,Appian Capital Advisory LLP,Appian Cap,,100.0,100.0,London,"London, England",London [GB],England,United Kingdom,Europe,Santa Rita,"Grutinha Salobo, Palestina, Peri Peri, Sao Francisco, Sao Pedro, Southern Zone Deeps",Brazil,Active,Operating,2016.0,881000.0,0.31,1723.0,226.88,1172723.0,184600000.0,"Anglo American AnnRpt 2019 (Reserves and Resources)Atlantic Nickel Ltd website (accessed June 2020); Ingwood et al;, 2011",3150543.29770728,1371753.0599638752,976668.4222892568,0.001764160651330759,511.3174695298897,7.0,0.11764899999999996,Operating-stage
1077,27713.0,27713.0,Savannah,Nickel,10.0,10/2021,Underground,Open Pit,,"Nickel,Copper,Cobalt,Vanadium,Titanium,Iron Ore,Graphite",Western Australia,Asia-Pacific,-17.35093,128.02609,Exact,190 km SSW of Kununurra,Sally Mally is about 250 km south of the port of Wyndham. (PC 11/92),,East Kimberley,1.0,1.0,1.0,1.0,,,,,,,,,,,2.0,Panoramic Resources Limited (Owner) 100%; Ora Gold Limited (Fractional),1.0,Local Interest (NSR),,,,,,,,,,,,,2004.0,1.0,2004.0,1.0,,,2033.0,,,,,,,,Long Hole Stoping,"Crushing, Flotation, Semi-Autogenous Grinding",Concentrate,,,46426.25,2002-08-28,2004-06-15,2004-08-18,Initial Capital Cost,"In August 2003, Sally Malay Mining issued 6.9 million ordinary shares at A$0.29/share to raise A$2 million. These funds represented the balance of the equity required by the project financiers as a condition for the drawdown of the Sally Malay senior financing facility. At the same time, development work had started at Sally Malay, with the awarding of contracts for the construction of the 120-person village and the plant and village access roads. (Sally Malay PR 8/1/03)_x000D_
	In July 2003, Sally Malay estimated a capital cost of about $A60 million, which included about A$48 million for the plant, infrastructure, and insurance, and about A$12 million for the open-pit mining pre-strip. (Sally Malay PR 7/14/03)_x000D_
	In July 2003, Sally Malay Mining secured A$46 million ($31 million) in financing from the MacQuarrie Bank and the Standard Bank of London for mine development at Sally Malay. (AMM 7/8/03)_x000D_
	In July 2003, Sally Malay Mining signed a life-of-mine concentrate sales contract with Sino Nickel (Jinchuan Group 60%, Sino Mining 40%). Jinchuan also provided Sally Malay with $5 million in project financing. (Sally Malay PR 7/22/03)_x000D_
	In early March 2003, Sally Malay Mining announced that it had accepted the offer of a A$52 million ($29.1 million) loan facility from Macquarie Bank and Standard Bank London to develop Sally Malay. (Sally Malay Mining 3/13/03)_x000D_
	In late January 2003, Sally Malay Mining completed a A$1.7 million share placement with DJ Carmichael & Co. A total of A$6.7 million ($3.7 million) was raised through placements to date would be used to fund development at Sally Malay. The company did not expect to require further equity raising related to Sally Malay. (Sally Malay PR 1/29/03)_x000D_
	Based on a feasibility delivered in August 2002, capital costs were estimated at A$54.3 million. This cost included: direct costs related to plant and associated infrastructure - A$37.2 million; indirect costs including EPCM, temporary facilities, and contingency - A$11.4 million; and other costs including 1st fill and capital spares, insurance, and owner's costs - A$5.7 million. (Sally Malay PR 8/20/02)_x000D_
	In July 2002, Sally Malay Mining, Jinchuan Group Ltd, and Sino Mining International Ltd signed a life-of-mine concentrate sales agreement, a project financing agreement, and an intermediate product feasibility study financing agreement for Sally Malay. Jinchuan agreed to purchase 100% of annual Sally Malay concentrate production on a life-of-mine basis. The offtake agreement would represent revenue to Sally Malay of approximately A$420 million over the initial project life of 5.5 years, based on a nickel price of $3.25/lb and an exchange rate of $/A$0.58._x000D_
	Jinchuan and Sino agreed to provide a $5 million project debt facility._x000D_
	In addition, Jinchuan and Sino were also considering financing 100% of the cost of a bankable feasibility study into the production of an added value nickel/cobalt intermediate product at Sally Malay from low grade flotation concentrate. The aim was to select an appropriate technology that could increase the metallurgical recoveries to +95% and provide a product (mixed sulphide or carbonate) that could be refined directly, thereby increasing the overall payability of the contained metals. (Sally Malay PR 7/29/02)",2004.0,Panoramic Resources Limited,Panoramic Resources Ltd.,Panoramic Rsrc Ltd,,100.0,100.0,Perth,"Perth, Western Australia",Perth [AU],Western Australia,Australia,Asia-Pacific,Savannah,"Copernicus, Dave Hill, E80/4834, E80/4880, E80/5131, E80/5238, East Kimberley, Frog Hollow, Keller Creek, L80/64, M80/179, M80/180, M80/181, M80/182, M80/183, Mable Downs, ML80/180, Northern Ore Zone, Norton, Oxide, Sally Malay, Sally Malay Deeps, Savannah North, SNM, Stoney Creek, Sub-Chamber D, Three Nuns, Upper zone, Wilsons",Australia,Active,Operating,2021.0,101770.2,1.23,3417.0,13.456,209800.0,8021000.0,Norilsk Nickel Resource Statement 2018Panoramic Resources Q1-4 2019,1627896.5503018082,939934.4647679882,1156119.3916646254,0.0029555771009774964,29.783494293239684,4.0,0.0040960000000000015,Operating-stage
1084,27053.0,27053.0,Selebi-Phikwe,Nickel,8.0,08/2021,Underground,,,"Nickel,Copper,Cobalt",Central,Africa,-21.94892,27.85471,Exact,95 km SSE of Francistown,,,,1.0,2.0,1.0,0.0,,,,,,,,,,,2.0,Bamangwato Concessions Ltd. (Owner) 100%; Global Initiatives (Fractional),,,,,,,,,,,,,,,1990.0,3.0,,,,,2012.0,,1500.0,495000.0,,,,,"Cut & Fill Stoping, Open Stope, Underground","Crushing, Flotation, Grinding","Concentrate, Matte",,,140000.0,2010-08-13,,,New Zone Development,"In August 2010, BCL and Global Initiatives were planning to build a plant at Selebi-Phikwe to re-treat 100 million mt of tailings and 45 million mt of smelter slag. Capital costs were estimated at $140 million. (Bamangwato PR 8/13/10)",2010.0,Bamangwato Concessions Ltd.,Bamangwato Concessions Ltd.,Bamangwato,,100.0,100.0,Selibe Phikwe,"Selibe Phikwe, Central",Selibe Phikwe [BW],Central,Botswana,Africa,Selebi-Phikwe,"BCL, Mt Selibe North, Phikwe, Selibe-Phikwe",Botswana,Active,Operating,2021.0,159250.0,0.325,28940.0,,,49000000.0,,1394710.1734297276,684254.4956403454,222382.71108311226,0.13013601578579598,5.5027643400138215,4.0,0.0040960000000000015,Operating-stage
1086,27655.0,27655.0,Selkirk,Nickel,5.0,05/2015,Open Pit,Underground,,"Nickel,Copper,Cobalt,Platinum,Palladium",North-East,Africa,-21.31417,27.72861,Exact,25 km SE of Francistown,Selkirk is located in the north-eastern corner of Botswana. Selkirk is located in a water deficit region in which evaporation and evaporative transpiration exceeds rainfall. The area is north of the Tropic of Capricorn. (Lionore PR 3/5/07),,,1.0,2.0,1.0,0.0,,,,,,,,,,,2.0,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel (Venturer) 85%; Government of Botswana (Venturer) 15%,,,,,,,,,,,,,,,2005.0,1.0,2010.0,,2002.0,3.0,2024.0,,,,,,0.54,,Open Pit,"Crushing, Dense Media Separation, Grinding, Hydrometallurgical, In-Situ Leach, Oxidation, Solvent-Extraction Electrowinning",Concentrate,,,160000.0,2007-02-02,,,Initial Capital Cost,"In February 2007, Selkirk's initial capex was estimated at $160 million. (LionOre PR 2/2/07)",2007.0,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,Public Joint Stock Company Mining and Metallurgical Company Norilsk Nickel,Nornickel,Venturer,85.0,100.0,Moscow,"Moscow, Moskva",Moscow [RU],Moskva,Russia,Europe,Selkirk,"Tati, Tati Nickel",Botswana,Active,Feasibility,2015.0,,0.23,,135.3,315200.0,,,,,,,,4.0,0.0040960000000000015,Feasibility-stage
1102,31518.0,31518.0,Shakespeare,Nickel,6.0,06/2021,Open Pit,Underground,,"Nickel,Copper,Palladium,Platinum,Gold,Cobalt,Silver",Ontario,United States and Canada,46.33417,-81.85944,Exact,20 km NE of Massey,"The property is located north of Agnew Lake, near the village of Webbwood, Ontario. (Wellgreen PROS 5/12/14)_x000D_
The Shakespeare property is located 10 km northeast of Ursa'a Porter Township platinum group metals property.  (MJ 6/16/00)",,Sudbury,1.0,1.0,1.0,1.0,0.186,,,,,38.0,3800.0,,,,1.0,Magna Mining Inc. (Owner) 100%,2.0,Glencore plc (NSR) 1.5%; Nickel Creek Platinum Corp. (NSR) 1%,,,,,,,,,,,,,2010.0,3.0,,,,,2012.0,,4500.0,1485000.0,,,5.15,,"Open Pit, Underground","Crushing, Flotation, Grinding",Concentrate,23.98,,133400.0,2004-11-01,,,Initial Capital Cost,"In February 2010, URSA arranged a $2.5 million credit facility with Auramet Trading to assist in resuming production at Shakespeare. Also, a definitive milling and smelting agreement was executed with Xstrata for the processing of Shakespeare ore. (URSA PR 2/17/10) _x000D_
In April 2008, URSA announced an update on the feasibility study at Shakespeare.  The project would have a production life of 7.2 years and increased capital costs $133.4 million (C$148.2 million).  (URSA PR 4/23/08)_x000D_
In January 2006, URSA announced that Micon had completed a positive feasibility study on Shakespeare. The study envisioned a base case scenario involving a $101.9 million (C$118.5 million), 6.8-year open pit operation including an on-site concentrator capable of processing 4,500 mt/d of ore. The estimated capital cost included $16.3 million (C$18.9 million) for mining equipment, $9.3 million (C$10.8 million) for pre-stripping, $41.8 million (C$48.6 million) in process plant costs, $15.9 million (C$18.5 million) in site infrastructure costs, tailings dams, and a high compression thickener, and $18.7 million (C$21.7 million) in owners costs, EPCM, and contingency. (URSA PR 1/20/06)  _x000D_
In November 2004, Ursa Major completed a prefeasibility study at Shakespeare based on a $11.57 million (C$15.04 million), 2,900-mt/d operation with truck haulage to mill. (Ursa Major PR 11/1/04)",2004.0,Magna Mining Inc.,Magna Mining Inc.,Magna Mining Inc,,100.0,100.0,Sudbury,"Sudbury, Ontario",Sudbury [CA],Ontario,Canada,United States and Canada,Shakespeare,"Baldwin, Shakespeare East, Shakespeare West, Springer Showing, Strathcona mill",Canada,Active,Reserves Development,2021.0,,0.33,,11.83,39000.0,,,,,,,,4.0,0.0040960000000000015,Development-stage
1105,28363.0,28363.0,Shangani,Nickel,7.0,07/2016,Underground,,,"Nickel,Cobalt,Copper",Midlands,Africa,-19.68823,29.22665,Exact,85 km NE of Bulawayo,,,Bindura,3.0,3.0,2.0,0.0,,,,,,,,,,,1.0,Bindura Nickel Corporation Limited (Owner) 100%,,,,,,,,,,,,,,,2007.0,2.0,1970.0,,2008.0,,,,1820.0,600000.0,,,,,Underground,,Concentrate,,,,2010-04-16,,,Reopening,"As of April 2010, Mwana was looking to restart operations at the Trojan mine in six to seven months, before restarting the rest of the complex. The Trojan mine would cost $50 million to restart, while the entire Bindura complex would cost $150 million. (Reuters 4/16/10)",2010.0,Bindura Nickel Corporation Limited,Bindura Nickel Corp. Ltd.,Bindura Nickel,,100.0,100.0,Bindura,"Bindura, Mashonaland Central",Bindura [ZW],Mashonaland Central,Zimbabwe,Africa,Shangani,"Bindura, Insiza, Shanghai",Zimbabwe,Active,Operating,2016.0,134833.0,0.78,960.0,12.03,68000.0,17286282.05128205,USGS/BM YB,1700488.8755119673,916287.9800561932,714704.6244438307,0.0013432122406470412,140.45104166666667,8.0,0.2621440000000001,Operating-stage
1109,27786.0,27786.0,Sherlock Bay,Nickel,8.0,08/2021,Open Pit,Underground,,"Nickel,Copper,Cobalt,Lead",Western Australia,Asia-Pacific,-20.81389,117.54111,Exact,70 km E of Karratha,,,"Pilbara, E of Karratha",1.0,1.0,1.0,1.0,,,,,,,,,,,3.0,Sabre Resources Limited (Venturer) 70%; Sherlock Investors Pty Ltd (Venturer) 30%; Metals Australia Ltd (Carried),1.0,Devonport Pty Ltd (NSR) 2%,,,,,,,,,,,,,,,,,,,,,6000.0,2000000.0,,,,,"Open Pit, Sublevel Caving","Bio-Leaching, Heap Leach",Concentrate,,,31600.0,2004-09-16,,,Initial Capital Cost,"In November 2009, capital costs to develop Sherlock Bay were reported at $31.6 million (A$34 million). (ABARE RPT 11/09) Significant potential existed to develop a bacterial heap leach operation with very low operating costs and a 10+ year mine life at 2 million mt/y. Test work indicated that the project could be developed with nickel recoveries exceeding 90%.  (Australasian WS 11/09)_x000D_
	In September 2004, a feasibility study at Sherlock Bay used a base case capital cost of A$22.7 million ($16.6 million). (Sherlock Bay PR 9/16/04)",2004.0,Sabre Resources Limited,Sabre Resources Ltd.,Sabre Rsrc Ltd,Venturer,70.0,70.0,West Perth,"West Perth, Western Australia",West Perth [AU],Western Australia,Australia,Asia-Pacific,Sherlock Bay,"Discovery, Doughboy, L47/124, M47/0567, M47/567, Malagine, Sherlock River, Sholl Shear Zone, Symond-Discovery, Symonds, Symond's Well",Australia,Active,Feasibility Started,2021.0,,0.4,,24.6,99200.0,,BHP AnnRpt 2019,,,,,,4.0,0.0040960000000000015,Feasibility-stage
1111,33363.0,33363.0,Shevchenko,Nickel,5.0,05/2012,Open Pit,,,Nickel,Qostanay oblysy,Europe,51.93812,60.87087,Exact,35 km SW of Zhetikara,,,Zhetikara,2.0,3.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2009.0,4.0,,,,,7580.0,2500000.0,,,,,Open Pit,In-Situ Leach,,,,680000.0,2005-12-16,,,Initial Capital Cost,"In May 2008, construction of the first-phase of Shevchenko was expected to start later in the month.  The first phase would cost about $80 million to start in the December 2009 quarter, the second phase would cost about $600 million. (Interfax 5/22/08)_x000D_
	A feasibility study completed in December 2005 estimated capital direct field cost for process plant, infrastructure and mine of $448 million, and $594 million including indirect field costs, EPCM, insurances and owner's costs. (Oriel PR 12/16/05)",2005.0,,,,,,,,,,,,,Shevchenko,"Blizhny, Grigoriev, Tarasov, Ubileyny, Uzhny",Kazakhstan,Active,Operating,2012.0,821109.0,0.79,17550.0,169.919,1305415.0,104415000.0,"Bateman, 2005 Bateman, 2005",5543654.139008435,2540731.6926527745,4379486.769816664,0.004007318876027724,46.78683760683761,7.0,0.11764899999999996,Operating-stage
1123,33743.0,33743.0,Sinclair,Nickel,10.0,10/2019,Underground,Open Pit,,"Nickel,Copper,Cobalt,Gold",Western Australia,Asia-Pacific,-28.37411,120.86445,Exact,270 km NNW of Kalgoorlie,The Bannockburn project is located between Leonora and Leinster in the Eastern Goldfields and is approximately 100 km south of Jubilee's Cosmos nickel mine (profile #110581). (Jubilee PR 11/13/01),,Eastern Goldfields,1.0,1.0,1.0,1.0,,,,,,,,,,,1.0,Northern Star Resources Limited (Owner) 100%,,,,,,,,,,,,,,,2008.0,4.0,2010.0,4.0,2009.0,3.0,,,1060.0,350000.0,,,,,Underground,"Crushing, Flotation, Semi-Autogenous Grinding",Concentrate,,,73500.0,2007-09-06,,2008-10-31,Initial Capital Cost,"In October 2008, Sinclair began production. (Xstrata PR 1/29/09) 	In 2008, Sinclair produced 300 mt Ni. (Xstrata 12/08 AR 3/2/09)_x000D_
	In early September 2007, Jubilee completed the prefeasibility study on Sinclair.  The study indicated a 300,000-mt/y facility, upgradable to 600,000 mt/y, would process ore from an open pit and underground mine.  The open pit would operate for about 1.5 years.  Capital costs were estimated to be $73.5 million (A$90 million) and average production would be 6,000 mt/y nickel-in-concentrate over a four-year mine life. (Jubilee PR 9/6/07)",2008.0,Northern Star Resources Limited,Northern Star Resources Ltd.,Northern Star Rsrc,,100.0,100.0,Subiaco,"Subiaco, Western Australia",Subiaco [AU],Western Australia,Australia,Asia-Pacific,Sinclair,"Amorac, Amy Rix, Antioch, Babylon, Bannockburn, Carthage, Cody Well, Cosmos, Delphi, E36/0650, E37/1231, E37/903, Fly Bore, Fly Bore North, L36/198, L37/175, M36/444, M36/445, M36/446, M37/1063, M37/1089, M37/1090, M37/1126, M37/1127, M37/1136, M37/1137, M37/1148, M37/1168, M37/1223, M37/1275, M37/362, M37/383, M37/384, M37/385, M37/386, M37/424, M37/426, M37/427, M37/590, M37/692, M37/735, M37/816, M37/818, M37/819, Marshall Well, Mount Clifford, Mount Newman, Mt Clifford, Mt Newman, Outcamp Well, P37/7228, P37/7233, Parnassus, Pink Well, Schmitz Well, Sky, Skye, Skye East, SNP, Stirling, Sturt Meadows, The Horn, Waterloo",Australia,Active,Reserves Development,2019.0,12017.0,1.97,,0.25,,610000.0,,488544.1021370416,355693.08930027264,700715.3859215371,,,4.0,0.0040960000000000015,Development-stage
1169,35577.0,35577.0,Subayin,Nickel,2.0,02/2010,,,,Nickel,Maluku Utara,Asia-Pacific,0.73472,127.56139,Approximate,Located in Sofifi; 22.3 km ESE of Ternate,,,,2.0,2.0,2.0,2.0,,,,,,,,,,,3.0,Allway Minerals and Science Technology Co Lt (Venturer) 80%; State Government (Venturer) 10%; Weifeng Co Ltd (Venturer) 10%,,,,,,,,,,,,,,,,,,,,,,,3030.0,1000000.0,,,,,,,,,,,2007-08-01,,,Initial Capital Cost,"In August 2007, with investment of $29 million, the mine was expected to have a capacity of 1.0 million mty of nickel laterite ore. (Antaike Copper and Nickel 8/07)",2007.0,Allway Minerals and Science Technology Co Lt,Allway Minerals Science,Allway Minerals,Venturer,80.0,100.0,Xi'an,Xi'an,Xi'an [CN],,China,Asia-Pacific,Subayin,North Muluku,Indonesia,Inactive,Reserves Development,2010.0,637600.0,1.73,,,200000000.0,36855491.32947977,1,6169439.25306665,3105359.121680822,8022700.594156563,,,8.0,0.2621440000000001,Development-stage
